message_id,true_satellite,claimed_satellite,rf_predicted_sat,rf_confidence,rf_matches_claim,openset_score
0,109,109,109,0.32,True,0.32
1,85,85,51,0.2767,False,0.2767
2,109,109,51,0.34,False,0.34
3,109,109,92,0.29,False,0.29
4,92,92,85,0.2433,False,0.2433
5,85,85,87,0.2667,False,0.2667
6,85,85,85,0.2733,True,0.2733
7,87,87,87,0.25,True,0.25
8,87,87,92,0.28,False,0.28
9,51,51,92,0.3967,False,0.3967
10,92,92,87,0.2367,False,0.2367
11,51,51,85,0.27,False,0.27
12,109,109,85,0.2633,False,0.2633
13,85,85,109,0.2867,False,0.2867
14,85,85,109,0.3233,False,0.3233
15,51,51,51,0.2533,True,0.2533
16,87,87,85,0.2533,False,0.2533
17,51,51,51,0.2867,True,0.2867
18,92,92,51,0.2433,False,0.2433
19,85,85,85,0.31,True,0.31
20,109,109,85,0.2267,False,0.2267
21,87,87,85,0.27,False,0.27
22,87,87,51,0.35,False,0.35
23,109,109,92,0.28,False,0.28
24,109,109,87,0.2833,False,0.2833
25,51,51,85,0.3933,False,0.3933
26,51,51,92,0.3233,False,0.3233
27,51,51,51,0.2967,True,0.2967
28,109,109,87,0.3433,False,0.3433
29,85,85,85,0.3133,True,0.3133
30,51,51,109,0.23,False,0.23
31,109,109,51,0.2433,False,0.2433
32,109,109,87,0.25,False,0.25
33,92,92,87,0.29,False,0.29
34,87,87,87,0.2533,True,0.2533
35,109,109,51,0.2267,False,0.2267
36,85,85,85,0.5233,True,0.5233
37,92,92,109,0.3433,False,0.3433
38,85,85,85,0.2967,True,0.2967
39,85,85,85,0.26,True,0.26
40,87,87,85,0.2333,False,0.2333
41,109,109,92,0.2333,False,0.2333
42,92,92,109,0.3267,False,0.3267
43,109,109,109,0.32,True,0.32
44,51,51,51,0.3533,True,0.3533
45,92,92,92,0.27,True,0.27
46,87,87,51,0.2433,False,0.2433
47,87,87,92,0.2333,False,0.2333
48,87,87,109,0.32,False,0.32
