message_id,sim_nonce,sim_mac,hmac_pass,freshness_pass
0,134372,72183c77f4e703c58ea3d9c4bd0badc766e95094cb8fd34f6e2cf666cfe4da10,True,True
1,317192,a6d08a19df1b9b87c16907242946353bc7afa7097ab966fc4f2a4685daaee36c,True,True
2,671907,46474b28376b09cf9a61f30c870cef9840d092ee85333164c155b75e479a6186,True,True
3,140420,51f8aa55f693bb1967a87a31a7ab3e280b3267fbb8776c11627daa902b78211a,True,True
4,002709,926f2e0c6b82d3ad83f15375b7933d2eb432066b4ac8b620758dd956eed12bab,True,True
5,133674,f0e7d5543be9e7fdda0c1353184b6c4456812be49ef4ce2c693729742cd39f8e,True,True
6,896040,4aa906951852a88294fb5744cb167269f41a7d6b0a532596fca197c8a3fcf09e,True,True
7,845751,3be3c556540a1983bbfe3e06c9971c83e8476423d1aad2390e8fc0aa3bac3fe4,True,True
8,236161,d6880bd9fe0367e17f6f87658404d0fab30a76826ef9f2adc024fb1a719916bf,True,True
9,957543,9a780a1fc15003cf66a0214f91a42419f33ede0cab0f471e92396c495319514b,True,True
10,839497,b8857587c242b6b62ef08334b783d52f41a134e492df2fd58da08b8044a6cb87,True,True
11,824605,6540684254d0cae59826775c4a5e1a396f2bb2e3b936378390fa0949f9814d1b,True,True
12,081353,d6cb57c92bcfbfc6bfa59ebcaa675987611191280463124955b9cfdb9c15d489,True,True
13,999369,1e70f02ac69f591ed54d4230a62df6da4b354241000c542ee24887dac883e693,True,True
14,485718,303a94a18ae1d17965bdc16a69712dfb447ee45c23e2b3199c4c1f05363251f9,True,True
15,383278,02bc9ceb5190f99d4d5355ca2c6dac76ce0a20b030d479d23951b648e5d04057,True,True
16,545619,99714f04ab9a311da2251f6eb7fd597a2f86846a79b1041e85e511e40d53ba2c,True,True
17,483224,5080cd4ae3d76fee28037f50e08e3fbb0571e4146a0e7ba870886feada261176,True,True
18,912823,99ebeea77bf5c524fae14b0b1c483316ce5d2eaeef36172706061d403396ca2a,True,True
19,130277,e4657af7dcd7811f3d6456ca58ddce4cc5aa27becab2b6236bf2932ddaf5e8c4,True,True
20,051903,8b1f6245e672220532fe43f850d95fa4754d04b04516e8cfd3675a1561f746ec,True,True
21,212457,be0c8575dbd6e224269016c92f936a92fd99da55cdc72ad2401c41d0858be0cb,True,True
22,642665,ef00b52421967c6b3a93c6aae5fdf3c3e6c20eec8f3cdfbdb74b315f8a784640,True,True
23,222635,8a52f311c090669462dd957fcc3bde161bc9bbe9a2695ca1732046ace48f6b9d,True,True
24,645002,233770518ac6f36182fa96225572cec97cae796235627fca2621325b8fb9f7f1,True,True
25,733626,4cd8ca16ce7eb1b0b76b91daff5e72b756403888e66bea2018a841d07ec445e5,True,True
26,143373,57bda7c580642f9279bc57130708ace90086440751a7e77ff8ad915c53ab9097,True,True
27,787569,d2621109f52570a5eaca42f52f84ecfa4343a678b40c567a3f67558cb4796fd8,True,True
28,098730,54b1a7846da7ea43aab096291a5c55b8ee074395196f2480dfb4201343f8e007,True,True
29,535771,6e0e318c73037ddb911ba3c572dfb023902ce9a13146dc3c29af6ebe16336fec,True,True
30,985834,27cad107f5879a4818bf537673f6b0b904495e6478158a41a696796c003ad722,True,True
31,633790,c202a340bc76fb3831fd935dc5a5e2b2e481c6e126ab6f4fb55ad031cf4145bd,True,True
32,676491,371df9a3fadbd261c467b579adccd9c2471fed0e6fd54abd125241b774ad32de,True,True
33,208466,723b060ed3e700c5d2bf95bca5783ff1de211cfded1dc84186728517733b6103,True,True
34,363444,9e661be530460e019b4aa8764dcdf561910e50ba344c84ef4e879b4f7907fa3f,True,True
35,618366,f20d327475ff856b0722bc5801b4cc51c81ab5d7387530faf4993cfba4397d08,True,True
36,400369,f3e42edbba386c0829153d6f45ed282a63b5b67d05c20a69c6207683c165e01f,True,True
37,241558,65a3ca5385c1d7b4523ea207970a3131fc18dc364abc8b27824758f59739ec37,True,True
38,721192,10a4dda36b17ee5f54aa232d1052e5659eaa0d36bfa21b44da517c37370ffb4c,True,True
39,289053,d7f42d611a45d8e798986b05fa9ab55547ee5375ad24957c53864a13c4bf7c7c,True,True
40,458891,b41d895a59350e238024be0811e22c36b65839c80f975529007634cfdc7a264f,True,True
41,546409,19852a690ac7b480479b42fef61e819e4adcd5e7aa1cc372012822c3618763d2,True,True
42,153332,587cbeac2cae75523482878805c28af8818b97f5794a3f52d6d4bf295f1131f5,True,True
43,591780,ac195a5d1479399da02db935a659aabd1239b8aa99092afbd417000d6bb44a36,True,True
44,067720,31205b6246426a102730245961c9d634633271793fc58428614cbe257b9d47da,True,True
45,881388,5d7461328c78027ba438fca292ec4e6096a2f74b3c64a5b65ce4184a052a5aec,True,True
46,735844,1ddf21333906dcca7e54296fc36ef85167ab34aba05d4f13b1decff705eaaf04,True,True
47,493437,ffdb4ebd6e3e01fd70078a53057ca977cce1c381f0f880bd7451a347ab7dadd2,True,True
48,961667,d6f84d2407ede4747396015e2be65c35118d0dc187a16f31a53cba68276746b0,True,True
49,554487,b664a549db17697e4da8e47e3f06b5754ad1aa190d0e0e41c4003ee5644830c2,True,True
50,229654,645ad1e4050b1b2a5958c8df654af9c081ba08475e5598d041d49eca7858d6d9,True,True
51,778159,52cadb19fb8c726cb4afa33b61707e0adc0d91bf8c11b097ac9d509aac4d76c3,True,True
