message_id,source_row_index,true_satellite,claimed_satellite,rf_predicted_sat,rf_confidence,rf_matches_claim,openset_score,model_name,feature_set,n_features,split_type,test_fraction,random_seed,rf_n_estimators,rf_scaled,rf_test_accuracy
0,2290,109,109,87,0.305,False,0.305,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
1,2879,85,85,51,0.29,False,0.29,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
2,1241,109,109,51,0.345,False,0.345,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
3,2556,109,109,92,0.325,False,0.325,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
4,4698,92,92,85,0.25,False,0.25,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
5,442,85,85,87,0.275,False,0.275,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
6,1558,85,85,85,0.26,True,0.26,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
7,1879,87,87,87,0.24,True,0.24,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
8,694,87,87,92,0.25,False,0.25,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
9,3547,51,51,92,0.395,False,0.395,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
10,4784,92,92,92,0.25,True,0.25,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
11,3461,51,51,92,0.27,False,0.27,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
12,5161,109,109,85,0.28,False,0.28,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
13,3790,85,85,87,0.295,False,0.295,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
14,4438,85,85,109,0.335,False,0.335,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
15,6098,51,51,92,0.24,False,0.24,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
16,1742,87,87,85,0.255,False,0.255,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
17,4876,51,51,51,0.275,True,0.275,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
18,4623,92,92,51,0.275,False,0.275,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
19,6,85,85,85,0.295,True,0.295,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
20,2589,109,109,92,0.23,False,0.23,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
21,3967,87,87,85,0.235,False,0.235,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
22,1696,87,87,51,0.35,False,0.35,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
23,5212,109,109,92,0.275,False,0.275,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
24,2400,109,109,87,0.315,False,0.315,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
25,1138,51,51,85,0.4,False,0.4,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
26,4955,51,51,92,0.325,False,0.325,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
27,2204,51,51,51,0.305,True,0.305,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
28,2399,109,109,87,0.32,False,0.32,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
