message_id,sim_time,sim_payload,sim_nonce,sim_mac,hmac_pass,freshness_pass,higher_layer_decision
0,1700000000,telemetry:0:source:109,058891,7e7cce9c4d87dfbebf2c5cfdb0d9b2496bb8f5e7eee33e6434e5096ba1376a77,True,True,pass
1,1700000030,telemetry:1:source:85,707992,d617973fe8b2d66ae219729a82e44760b173a3dcbf72cc8b52a4c12805c7277e,True,True,pass
2,1700000060,telemetry:2:source:109,487847,4fe0df9fc8dc6a142322e1af399aac46360b85e01b3f6d05cecf3577abbbb060,True,True,pass
3,1700000090,telemetry:3:source:109,365596,080cb86d247f81455ec6ab8cf487f4ea812e1487fa0eae429bb6d4f8f976c250,True,True,pass
4,1700000120,telemetry:4:source:92,393557,1203503d57cb29f4149c4cb8d236551ea61aefef0b43e76fba7d67d12eef3f15,True,True,pass
5,1700000150,telemetry:5:source:85,564052,14eec5762476600997f37ae5bbef9fdfdf63b68d7bc6310691f313e58f703fc1,True,True,pass
6,1700000180,telemetry:6:source:85,984713,91f98d010ef73e41e6e5d2664dac60830b853f0203650bb667304e85783987d8,True,True,pass
7,1700000210,telemetry:7:source:87,160040,c45f540470108d166a43a8a975a53c52580f8236c145265db95d5d3648a305df,True,True,pass
8,1700000240,telemetry:8:source:87,650288,7c33852f9685a379a02095da4fa6084e19dcc932be6e0c25d5d3e2e113de0603,True,True,pass
9,1700000270,telemetry:9:source:51,665201,e1587f394a6b096071e16f8502b7f25a1bb1a9930527b86f8a1660b61a1cc430,True,True,pass
10,1700000300,telemetry:10:source:92,891380,c7fb51a3fe5399fc5041cefd8da301cb127a737df1d0989600b23c380ae73da0,True,True,pass
11,1700000330,telemetry:11:source:51,699407,d96118522505cff6892c178c5e7b219edb3f8e36cf65b9018bb100cac19f86ed,True,True,pass
12,1700000360,telemetry:12:source:109,506349,7e08e6b7ed35696945b63d465ff9b2c98ddcb12511438eacf6a1e217cfa0412f,True,True,pass
13,1700000390,telemetry:13:source:85,683746,a4d43109bfc92f154cb57dfbea0256a5ea7400724bf03372e8b2cbd23cae958a,True,True,pass
14,1700000420,telemetry:14:source:85,065909,eaa3dbc3358e6b5b042e2ebcec5559e483c24f09400b3097df2f847c608e3cd0,True,True,pass
15,1700000450,telemetry:15:source:51,308630,c7ad19d2f9f26046fe1322e8a06561236301d0e4351f49d3d3e3c9e1e3650cfa,True,True,pass
16,1700000480,telemetry:16:source:87,372958,5ea366a036387580f7932c173eb7d533bbdce770cdfea4025e6c9efb73fb4292,True,True,pass
17,1700000510,telemetry:17:source:51,767117,1273d9703093968ff33af58d1e68ffecb77051ec702ddf2491b989cf2c42f0a7,True,True,pass
18,1700000540,telemetry:18:source:92,574167,6fb228074fea5b7989f10c215144f53e6d1e567b0c26f6dd38213fe8c57df275,True,True,pass
19,1700000570,telemetry:19:source:85,391536,951ca177924f2c2ffcdf75d9dd888d11140775bac7cd2ca9cb61441d7bb47c5a,True,True,pass
20,1700000600,telemetry:20:source:109,851778,1d67292ec0d7ce188ee5557e38a7c07cf132d72049cbfa390e4327a9e921680b,True,True,pass
21,1700000630,telemetry:21:source:87,152930,c8cdf414a780b0736d41e8bbdb3f0d2e167c8b068226e3cc5b8c1075ef66c01f,True,True,pass
22,1700000660,telemetry:22:source:87,577826,08e5a0cea4786dd171a5048b83bd9abfa69424c7efcb04451ab26f3c115c649c,True,True,pass
23,1700000690,telemetry:23:source:109,094858,5d1360eccd7922d81e4b69e58c7d63a0edd103b659049750fd7a659432660a17,True,True,pass
24,1700000720,telemetry:24:source:109,767801,441cec80e0b19270b27adceab0675ed09026fe60ad4f1134bfb27b93c8c7acfc,True,True,pass
25,1700000750,telemetry:25:source:51,591936,7427e706a7c9a2c5bd9c1b20e7854091817214cb75b0c7b3c5b7a7df8cdd51e5,True,True,pass
26,1700000780,telemetry:26:source:51,753918,69b0c9aaef8dc694163cdc98757f5a68460071db54194965015eced913e93b90,True,True,pass
27,1700000810,telemetry:27:source:51,569289,d321bec3fca6426b28fa59509b3ee2b9d28459c3eb53ed2e8e7d3dd8ee465ffc,True,True,pass
28,1700000840,telemetry:28:source:109,655476,8f8638cf3f2b08ce1d8cd80c1ba02a92de4b7bc7b1df06b7fb0a3a96bc83f560,True,True,pass
29,1700000870,telemetry:29:source:85,760940,0b38e477300d1fe5bb11d3bbff00df90d7d8137ea35e9c03c57b802826027d89,True,True,pass
30,1700000900,telemetry:30:source:51,055915,11ed0204b6f3fabd97ade7d7c1fc52313157415146529355597e799655bd35ec,True,True,pass
31,1700000930,telemetry:31:source:109,659620,eb5be89932e3d754c0f04c40ad1c0c719e0e5309cd69c2d063500c2d8bc7b93b,True,True,pass
32,1700000960,telemetry:32:source:109,729327,6c120818a654c575eee4580e17d355176d7a0732cd544f9120a7796dedfb5502,True,True,pass
33,1700000990,telemetry:33:source:92,796205,d68507c4676d7ebef0fbbc1edf6a9f28c0b878ea1b2e2d8677328297ed8fe9bc,True,True,pass
34,1700001020,telemetry:34:source:87,347545,dfaa34fa9caa8691b4d885f49e34f665327c243daa0cad5e5c61e9a3e283b484,True,True,pass
35,1700001050,telemetry:35:source:109,242623,76f1294ad1bbcb7cf6915404a7faf02cad05dfaa9119cbbe9749ed79f66e766b,True,True,pass
36,1700001080,telemetry:36:source:85,624020,8f0342293c6d055ec1b00bdd904a1ca7bc70ade4a60c1fe83a9805bb0087de75,True,True,pass
37,1700001110,telemetry:37:source:92,368639,4e1146ff4a0392cdeca9614f918da91a4c813f4dac0e2241a19a61a15deb1e60,True,True,pass
38,1700001140,telemetry:38:source:85,885808,53b8af7937ec8c1b092c48446b0986a4d44068adb9eb09b361dd9213969da85b,True,True,pass
39,1700001170,telemetry:39:source:85,980391,21fbd9293b5caf65dfad39d2cadc1082aa37e05c19dc34b6c7d86dc26760f6ac,True,True,pass
40,1700001200,telemetry:40:source:87,993353,583546bfc6d4dc0659b8b650639a9e0f16c0f96abd3a6d70237a74e92e5f1d1d,True,True,pass
41,1700001230,telemetry:41:source:109,006828,6b1fab66164b2295bb58405ba4484f67c9f3f550cbc6d5d556bfe6a0c01d9190,True,True,pass
42,1700001260,telemetry:42:source:92,019344,6c3be79294def69da76568577ea7b1b208de9499e61a7a783580fdee9f162fa6,True,True,pass
43,1700001290,telemetry:43:source:109,674337,15c12e519bde7556e7612778bcb06f6bad1600263c83cbd1450f3f5fa99959dc,True,True,pass
44,1700001320,telemetry:44:source:51,666819,c405c869f00caaa654d3ced58078fa42211f66fb04904e4a2cbd2da7b1d6548e,True,True,pass
45,1700001350,telemetry:45:source:92,234104,695d004560be2e8286d5cc0a77c4c6613dfaf5aea9e327cb772150566a5a4895,True,True,pass
46,1700001380,telemetry:46:source:87,050731,7daf1ad3ba7dc3a046d01aa367113a00595c5f46cf7b4a12d3e65d3332946eb8,True,True,pass
47,1700001410,telemetry:47:source:87,240959,abac57368afd6df2cda89176009556c00151f585fa51207f5ebe0fedebbfba5b,True,True,pass
48,1700001440,telemetry:48:source:87,649607,e7ee893795881ded60839fc8a79457465841599e8ad542b52865ab20490b5449,True,True,pass
49,1700001470,telemetry:49:source:87,712911,5473556b0778a99c99663f0e64231c75a3db89bad6b6569ea2b0ce08318c2e44,True,True,pass
50,1700001500,telemetry:50:source:51,519234,75306e36e1f3f5854e931227093822f96f639d817441389ccc33f50e66735756,True,True,pass
51,1700001530,telemetry:51:source:92,371736,4f6efd372f362102781f6bbf95e2dd44a339cda8a84c1507621d9c4c3115bddd,True,True,pass
52,1700001560,telemetry:52:source:51,595775,b5a3b2e4492b58f5e80eaf6fd3b6ae8192d8c2a674658248df314566f137b71d,True,True,pass
53,1700001590,telemetry:53:source:109,556613,83cbdc014dcb45e7180274840a5879578cef30cbb553d535bc51e09dac7ade92,True,True,pass
54,1700001620,telemetry:54:source:85,476563,cf7c94bf59693b4c80e32eebaa5a0f0286a518fb1e01252aca04b0bf9b143f4b,True,True,pass
55,1700001650,telemetry:55:source:92,356228,e6b88ca9fe7970d52b25e6b5c73fb16829571699b6082ed762bb4ee78b5e69ba,True,True,pass
56,1700001680,telemetry:56:source:51,294489,6a2b50358f455e2f59299e789a3bf70c3da30477e51558dd8bdfab6343888573,True,True,pass
57,1700001710,telemetry:57:source:87,002509,082247c4677fbe9b77b76f58bcdc97345d92fbb5c41a08d1af8efd59c963e16c,True,True,pass
58,1700001740,telemetry:58:source:85,472305,68cd200050dfc143fdb41852ac1e6210c963570407461897c99b9f98ec88f8d6,True,True,pass
59,1700001770,telemetry:59:source:87,390675,22c4269067320f2070c42c912978a21e688ac41dd58d74d2f65387a8fbfbae1a,True,True,pass
60,1700001800,telemetry:60:source:87,134138,24d8fd326a0ec7db983da1f07779cc81f8b42365cb6025e4ee5610edf27319bf,True,True,pass
61,1700001830,telemetry:61:source:109,177661,7a3f978a8d005334a235598deb8dc81c9c47f2111439b64fb0cf356155662e4b,True,True,pass
62,1700001860,telemetry:62:source:87,308920,4fd38751ebf4c6382c8bc6053009b6790385ef37a102bd5a6a9c1966fc1f047f,True,True,pass
63,1700001890,telemetry:63:source:87,876998,8032dfa60951fc6cea421a0bb98eef6f01723d1715b97a0bb51d2223e482678d,True,True,pass
64,1700001920,telemetry:64:source:85,247722,bf198c5acbd69c8851e081e0feaf48f1ddf467944fcc9e8e24a0b3d6d4486688,True,True,pass
65,1700001950,telemetry:65:source:92,394197,3218fc538cbe6bca6e34d29b07c57c55017bebf3872afda387a1e62fa4ee109a,True,True,pass
66,1700001980,telemetry:66:source:85,981398,f142984685b938545c883b51b7a38056ec36316157c4d5d0bec100e96202296b,True,True,pass
67,1700002010,telemetry:67:source:51,302653,96d0dfeb386fa6ae6e44633cbbf265763d4bec0d3deb3b08b7885c7409d1b4ed,True,True,pass
68,1700002040,telemetry:68:source:92,821802,4c96b542b3b5b028ab1de683f986135a98395d1682cde0afaf8ad74d47bacff2,True,True,pass
69,1700002070,telemetry:69:source:85,360387,03885a6c0d72a4e7957d5fb58b9e98042d2134d065257b98f1e5e1408dc30da9,True,True,pass
70,1700002100,telemetry:70:source:51,888526,bf614419997e4508f7a5f3fb00d94f99ff04c486dc063511dfe7ee2531c3f4d8,True,True,pass
71,1700002130,telemetry:71:source:109,988488,2719f091458af4f1e020ec50eaef9c1adfdf14bb21bdf62737458d63d62474c5,True,True,pass
72,1700002160,telemetry:72:source:51,127820,cd8261b8500b34026cb45b1e458498d6167e23995db00aecd01819c7cda24eef,True,True,pass
73,1700002190,telemetry:73:source:85,074234,0e81070f7fe5c0edca7aa052a0f61f1b1f1464defd8d6b9a3bd63af0400073fb,True,True,pass
74,1700002220,telemetry:74:source:85,782958,4d6c4800b85027c21ca6b2fb8845cf17ccb993bc5a2579b6047977ac17aac395,True,True,pass
75,1700002250,telemetry:75:source:51,059407,f4b4592e3e330303b69df6b951ef00ca28080ac1421fdcb7c55e4829a50b168c,True,True,pass
76,1700002280,telemetry:76:source:51,248693,55ea94e9ea39f1ca45fab2dce475015a8d07b2e45a72b0306c845bd9164cff95,True,True,pass
77,1700002310,telemetry:77:source:87,382969,3f860afcd7bb9116bb27606edda160d03e636cc17c4ce5b22035db6200ddc839,True,True,pass
78,1700002340,telemetry:78:source:85,078978,b2a460cc50e9a6230607116a846fe12fec42e3e6d7dd6ce5a3069450fd7c3201,True,True,pass
79,1700002370,telemetry:79:source:87,106656,6bd6b5eeab673f6358dd25015d3cc3a8e212e0a5f604d335fbf0597d7ee1b6a7,True,True,pass
80,1700002400,telemetry:80:source:85,335343,a248b17c8ae5808175df566ffb36c48b92f7b44e1ea1f8c914df7bcc96edb91e,True,True,pass
81,1700002430,telemetry:81:source:51,492212,b708713947c5855d6373bf4832dd193ef905d2584ff19ed172b00115990cf62f,True,True,pass
82,1700002460,telemetry:82:source:92,457870,2fae639b06950a0f07856252204a1bcdededf16687bb2535f56f23a2fa5ff62c,True,True,pass
83,1700002490,telemetry:83:source:92,637717,181c36f148d8c974c7b28a8fa69b2d489089edc128b37a36612939139fa4856a,True,True,pass
84,1700002520,telemetry:84:source:92,858551,194d135b79d201cf2bcf3a01d469480150129699a8a1ab74d0b29e1122e1788b,True,True,pass
85,1700002550,telemetry:85:source:87,566108,a44efa35794e12a3c6af48074d0c1dd49c546c8eed21de252c71d6d273a8488c,True,True,pass
86,1700002580,telemetry:86:source:87,271494,4a82a5b04e55fe7648be2769e55529d903c6b9564c66167f46832fef64d21e63,True,True,pass
87,1700002610,telemetry:87:source:92,225257,19885846e19982bda0f154a74db13d196a1890ebc4253377fd172914e4756263,True,True,pass
88,1700002640,telemetry:88:source:85,043215,df3190c089f2d3cf896c2ea89bd6df71033d8c92b2f05b0e2fb8372d8d236a26,True,True,pass
89,1700002670,telemetry:89:source:51,403005,644c0b1efacc9c8da81234b256383bc8559f79289873c6d2951206a6870b3da3,True,True,pass
90,1700002700,telemetry:90:source:109,670673,ec2aa4718451e4d447588e819ff99c6aa82fe0abec7c4a90e3662bd52c97dbcd,True,True,pass
91,1700002730,telemetry:91:source:51,415818,dfbd3d6ef1718836bc092a02bf73f3de36578d3957ff48c6fea98846a5fc0d6c,True,True,pass
92,1700002760,telemetry:92:source:85,851105,26a847eb1c90881a84c97593d18b41cda8a3baae0e8981d9b5964717e75ca8e6,True,True,pass
93,1700002790,telemetry:93:source:87,137358,198d74efaea1fd4c6ef2c8ccee330ee085e9d438e3d22233dc06dfbaeb59b4b1,True,True,pass
94,1700002820,telemetry:94:source:109,893172,f63dda94f2a802df6a86762c0d121134d96ba677055de192557b6a21b60e0da2,True,True,pass
95,1700002850,telemetry:95:source:85,469402,78308d1a2385a90b7c57ebe2a138430084d1a21ef19bb2ca63c153a5b20aab53,True,True,pass
96,1700002880,telemetry:96:source:92,220632,b07a87c02ae5f5bec18859a11c33ba92749244e39b31b4f51c9ae52ac8ccef7e,True,True,pass
97,1700002910,telemetry:97:source:109,172696,869d63507dcc488553029d468249e1da790098cda2293da0f313e751d9d94945,True,True,pass
98,1700002940,telemetry:98:source:51,424526,25cebd06730d4c95281a977ed38f0d83ed5d1753cae62b8a585520f37ecc7bea,True,True,pass
99,1700002970,telemetry:99:source:109,206932,5b26e86c53c6a92c1880858940d6b3bd19083d8f87db2f6ae5428e11ac319f9e,True,True,pass
100,1700003000,telemetry:100:source:109,770706,e93bbb9170f33efe134e64e41c443a914f5f64fa247409c86f71218073666eb6,True,True,pass
101,1700003030,telemetry:101:source:109,508749,c298162a0420a8b988868e974dc22814f8af4596b852c62ed66203c007ec64a6,True,True,pass
102,1700003060,telemetry:102:source:85,140835,f4791ddc702dff23ceef57149fbc80126e539054ae81e5c0a06b9cbd936d86ab,True,True,pass
103,1700003090,telemetry:103:source:109,134035,63ee6c4c27624fba1235b38e58118a7d5f61e1861a376391648969f2594a8fbc,True,True,pass
104,1700003120,telemetry:104:source:85,959019,0fb615e5bb8f9027e17fdeedd6e8f326c2bf07c0cad1ab91a61f22ab54400096,True,True,pass
105,1700003150,telemetry:105:source:85,377092,d777fcf515e9a578f2e1d2fa9a986fb96a5fb266e231c4b234a5e8302f3a8a61,True,True,pass
106,1700003180,telemetry:106:source:109,767455,d17b24fa704700710867b860db3c4bcf607bef68fbe2bde40a78982e3a58c631,True,True,pass
107,1700003210,telemetry:107:source:92,805005,b0095772a0cfd35331b47cb0921d43e2f7a744af5a9c8e2033e2b1e010eeb093,True,True,pass
108,1700003240,telemetry:108:source:51,033384,9971eb20101f9fab967ef9ca862a2029492856c6f985ecd6412de2d877528633,True,True,pass
109,1700003270,telemetry:109:source:51,849843,d68019b0f00e1666a82465cc553b87891a0cf831dec2d020fc8992a9d6e5433b,True,True,pass
110,1700003300,telemetry:110:source:92,401273,4d78e4733ff91a91a3ca5b347dbec9fb92cc5cd7009234ec24ab5abf2159acf7,True,True,pass
111,1700003330,telemetry:111:source:51,332665,c3f9be4482065eb779066077b0aa808649a3fdd504c2c3b4405c9ba4a95b0e86,True,True,pass
112,1700003360,telemetry:112:source:87,080006,aa53464b5606deb9b110804bacc8b8847b850e6f0306d57bf404ff9a20a8b7d9,True,True,pass
113,1700003390,telemetry:113:source:92,658847,8e108c3f584f70f64fc34dc1e19e996608b15a8c3949aacd7a67d046e2daf6af,True,True,pass
114,1700003420,telemetry:114:source:87,646867,be8c2b5e276def65fab4ddf3e995b42cf0b1bbbaa8680ebd7cda4cf9488e24a5,True,True,pass
115,1700003450,telemetry:115:source:85,285601,e6550499206e63d4d8b8d225cee8eec145c7f7b542cf291d2a189c0750c554ad,True,True,pass
