case_type,global_index,true_sat,claimed_sat,rf_match,confidence_band,hmac_pass,freshness_pass,decision,combined_caught,higher_layer_only_caught
genuine,0,109,109,True,high,True,True,accept,False,False
genuine,1,85,85,False,middle,True,True,flag,False,False
genuine,2,109,109,False,high,True,True,reject,True,False
genuine,3,109,109,False,middle,True,True,flag,False,False
genuine,4,92,92,False,low,True,True,flag,False,False
genuine,5,85,85,False,low,True,True,flag,False,False
genuine,6,85,85,True,middle,True,True,flag,False,False
genuine,7,87,87,True,low,True,True,flag,False,False
genuine,8,87,87,False,middle,True,True,flag,False,False
genuine,9,51,51,False,high,True,True,reject,True,False
genuine,10,92,92,False,low,True,True,flag,False,False
genuine,11,51,51,False,middle,True,True,flag,False,False
genuine,12,109,109,False,low,True,True,flag,False,False
genuine,13,85,85,False,middle,True,True,flag,False,False
genuine,14,85,85,False,high,True,True,reject,True,False
genuine,15,51,51,True,low,True,True,flag,False,False
genuine,16,87,87,False,low,True,True,flag,False,False
genuine,17,51,51,True,middle,True,True,flag,False,False
genuine,18,92,92,False,low,True,True,flag,False,False
genuine,19,85,85,True,high,True,True,accept,False,False
genuine,20,109,109,False,low,True,True,flag,False,False
genuine,21,87,87,False,middle,True,True,flag,False,False
genuine,22,87,87,False,high,True,True,reject,True,False
genuine,23,109,109,False,middle,True,True,flag,False,False
genuine,24,109,109,False,middle,True,True,flag,False,False
genuine,25,51,51,False,high,True,True,reject,True,False
genuine,26,51,51,False,high,True,True,reject,True,False
genuine,27,51,51,True,middle,True,True,flag,False,False
genuine,28,109,109,False,high,True,True,reject,True,False
genuine,29,85,85,True,high,True,True,accept,False,False
genuine,30,51,51,False,low,True,True,flag,False,False
genuine,31,109,109,False,low,True,True,flag,False,False
genuine,32,109,109,False,low,True,True,flag,False,False
genuine,33,92,92,False,middle,True,True,flag,False,False
genuine,34,87,87,True,low,True,True,flag,False,False
genuine,35,109,109,False,low,True,True,flag,False,False
genuine,36,85,85,True,high,True,True,accept,False,False
genuine,37,92,92,False,high,True,True,reject,True,False
genuine,38,85,85,True,middle,True,True,flag,False,False
genuine,39,85,85,True,low,True,True,flag,False,False
genuine,40,87,87,False,low,True,True,flag,False,False
genuine,41,109,109,False,low,True,True,flag,False,False
genuine,42,92,92,False,high,True,True,reject,True,False
genuine,43,109,109,True,high,True,True,accept,False,False
genuine,44,51,51,True,high,True,True,accept,False,False
genuine,45,92,92,True,middle,True,True,flag,False,False
genuine,46,87,87,False,low,True,True,flag,False,False
genuine,47,87,87,False,low,True,True,flag,False,False
genuine,48,87,87,False,high,True,True,reject,True,False
genuine,49,87,87,False,low,True,True,flag,False,False
genuine,50,51,51,False,high,True,True,reject,True,False
genuine,51,92,92,False,low,True,True,flag,False,False
genuine,52,51,51,False,high,True,True,reject,True,False
genuine,53,109,109,True,middle,True,True,flag,False,False
genuine,54,85,85,False,low,True,True,flag,False,False
genuine,55,92,92,True,high,True,True,accept,False,False
genuine,56,51,51,False,high,True,True,reject,True,False
genuine,57,87,87,False,low,True,True,flag,False,False
genuine,58,85,85,True,middle,True,True,flag,False,False
genuine,59,87,87,False,low,True,True,flag,False,False
genuine,60,87,87,False,low,True,True,flag,False,False
genuine,61,109,109,False,middle,True,True,flag,False,False
genuine,62,87,87,False,middle,True,True,flag,False,False
