feature,F,p
kurt_I,9.309586253339473,1.691778239290768e-07
kurt_Q,7.492497008482166,5.124142630591359e-06
papr,5.313088632965969,0.0002864999636469942
iq_correlation,4.655501554486776,0.0009429779365308192
zero_crossing_rate,3.6372299057684927,0.005771745819606577
peak_frequency,2.0865994745305483,0.07982052355008869
mean_Q,1.9440202531604807,0.10027890848898197
skew_I,1.8890962199201533,0.10939572292280016
max_Q,1.8373151522252393,0.1186916065253686
mean_I,1.6249116112634563,0.1649622573040407
occupied_bandwidth,1.5099204986681254,0.1963502831862197
min_Q,1.291040837429471,0.2709937100861146
var_Q,1.2858302673350448,0.27303436660799585
min_I,1.2560924940522853,0.28493174018537226
max_I,1.2433007662278286,0.2901822325348197
skew_Q,1.2373730602883184,0.2926427084612944
median_I,1.230679024890453,0.29544224384562595
std_Q,1.1750913100894436,0.31956120117150244
signal_power,1.1216022406343558,0.34426983420550356
iqr_Q,1.0350759999617105,0.3874445796852935
var_I,0.9691837235227911,0.4230273091667319
std_I,0.9057832396281943,0.4594749236188512
fft_mean_magnitude,0.8744401105417945,0.47828364612672214
iqr_I,0.8590107186072824,0.48773129091345946
median_Q,0.8242504360029843,0.5094624751837405
iq_ratio,0.7871662972308153,0.533309945931272
bandwidth,0.6736084368382909,0.6102155860971802
spectral_centroid,0.11166925973072646,0.9784749932019435
