feature,training_only_importance
kurt_I,0.05036972109858764
spectral_centroid,0.045893471988711354
mean_I,0.04439782908696488
mean_Q,0.04434981393357449
kurt_Q,0.04429740261423674
skew_I,0.043743370630901744
papr,0.04355240852194618
median_I,0.043514291386890606
median_Q,0.04348807050551597
skew_Q,0.04287227357972146
bandwidth,0.04236086204465764
iq_ratio,0.042085813699851954
iq_correlation,0.04039498966281295
min_I,0.035542958602002794
max_I,0.03548785870071108
max_Q,0.03546300877818508
min_Q,0.035101800173226304
occupied_bandwidth,0.034670087599381685
fft_mean_magnitude,0.031795728573693366
iqr_I,0.030522493975109522
iqr_Q,0.029228155305378457
std_I,0.028225544936550374
std_Q,0.027626019136008505
var_Q,0.027384525509577536
var_I,0.027165639681356178
signal_power,0.02657210449111039
zero_crossing_rate,0.016138196944195316
peak_frequency,0.007755558839139808
