model,satellite,n_genuine,FRR,FAR,model_accuracy,model_EER
28 waveform features,51,238,0.819327731092437,0.14773869346733667,0.24493106244931062,0.47100567721005676
28 waveform features,85,255,0.6627450980392157,0.24846625766871167,0.24493106244931062,0.47100567721005676
28 waveform features,87,246,0.7723577235772358,0.17831813576494426,0.24493106244931062,0.47100567721005676
28 waveform features,92,257,0.7782101167315175,0.20184426229508196,0.24493106244931062,0.47100567721005676
28 waveform features,109,237,0.7468354430379747,0.1686746987951807,0.24493106244931062,0.47100567721005676
receiver-side metadata,51,238,0.7310924369747899,0.1879396984924623,0.27412814274128144,0.4281224655312247
receiver-side metadata,85,255,0.7372549019607844,0.18200408997955012,0.27412814274128144,0.4281224655312247
receiver-side metadata,87,246,0.7276422764227642,0.19047619047619047,0.27412814274128144,0.4281224655312247
receiver-side metadata,92,257,0.7003891050583657,0.1987704918032787,0.27412814274128144,0.4281224655312247
receiver-side metadata,109,237,0.7341772151898734,0.14859437751004015,0.27412814274128144,0.4281224655312247
