feature,r2_vs_level,pearson_r,spearman_rho
std_I,0.9906378534488086,0.9953079189119358,0.9943715259561424
std_Q,0.9904644340864865,0.9952207966509173,0.9945029145037624
iqr_Q,0.9872120939792801,0.9935854739172066,0.9928949234195128
iqr_I,0.9866806382049185,0.9933179945037331,0.9930101210081407
fft_mean_magnitude,0.9847196172037157,0.9923303971982899,0.9932743621002472
max_I,0.9531586404057611,0.9762984381866854,0.9790078240292246
max_Q,0.9510450173093613,0.9752153697052571,0.9798001398147482
min_I,0.9480461653213642,-0.9736766225607782,-0.9779983290611001
min_Q,0.9469100210103648,-0.9730930176557454,-0.9797292180266187
signal_power,0.940950238591421,0.9700258958354777,0.9972934777451703
var_I,0.9372086522226672,0.968095373515785,0.9943715259561424
var_Q,0.9367995134809611,0.9678840392737971,0.9945029145037624
occupied_bandwidth,0.7354253725335671,-0.8575694563903072,-0.9126162407407769
papr,0.4482498048892909,-0.6695146039402657,-0.7856509406776198
iq_correlation,0.36449953978435073,0.6037379727864984,0.8531157099160449
kurt_Q,0.33863137082585765,-0.5819204162304822,-0.786778439721492
kurt_I,0.3178779567739414,-0.5638066661311671,-0.7893749817652554
median_I,0.3100564349116089,-0.5568271140233824,-0.5408804204551992
median_Q,0.3009429431264078,-0.5485826675410077,-0.5299118685423021
zero_crossing_rate,0.23378898198429446,-0.4835173026731251,-0.717974925300979
mean_I,0.027551033194037993,-0.165985039066893,-0.15190437404340099
mean_Q,0.024500110184143147,-0.156525110394924,-0.14298782675701702
skew_I,0.007986173123245606,0.08936539108203805,0.09615855310731652
bandwidth,0.0056750173824179385,-0.07533271123766845,-0.08335808892945623
skew_Q,0.005605623150794536,0.07487070956518668,0.07387741997675701
iq_ratio,0.0012338606737432832,-0.035126352980964066,-0.002222935769475738
spectral_centroid,0.0010093667796506871,-0.03177053319745653,-0.003165837488385155
peak_frequency,0.00019064089116306858,-0.013807276746812478,0.003125422405391562
