column,accuracy,chance,margin,verdict
global_index,0.8499594484995945,0.20843471208434713,0.6415247364152473,"known leak, excluded"
timestamp_global,0.8483373884833739,0.20843471208434713,0.6399026763990268,SEVERE LEAK - exclude
ra_lon,0.32522303325223034,0.20843471208434713,0.11678832116788321,suspicious - investigate
ra_cell,0.29278183292781834,0.20843471208434713,0.08434712084347121,weak signal
ra_alt,0.25060827250608275,0.20843471208434713,0.04217356042173562,weak signal
run_id,0.20843471208434713,0.20843471208434713,0.0,no signal
confidence,0.20843471208434713,0.20843471208434713,0.0,no signal
direction,0.20843471208434713,0.20843471208434713,0.0,no signal
level,0.2035685320356853,0.20843471208434713,-0.004866180048661822,no signal
noise,0.20275750202757503,0.20843471208434713,-0.005677210056772103,no signal
ra_lat,0.20113544201135442,0.20843471208434713,-0.00729927007299272,no signal
center_frequency,0.1922141119221411,0.20843471208434713,-0.016220600162206028,no signal
