sat_a,sat_b,mahalanobis_D,mahalanobis_D2
51,85,0.11173613088397016,0.012484962944919712
85,109,0.10841512935789607,0.011753840273689338
85,92,0.1065414591352255,0.011351082514662925
87,92,0.10186337643485854,0.010376147458709696
85,87,0.0947946120936662,0.008986018481988647
51,92,0.07934151873003409,0.0062950765943883494
92,109,0.07361374632261833,0.005418983647650803
51,87,0.05794649236387395,0.0033577959772765017
87,109,0.05549624578917889,0.0030798332966929555
51,109,0.054038441574723026,0.0029201531678247536
