variant,columns,provenance,accuracy,chance,ci_low,ci_high,p_value,n_test,n_discordant
all 4 columns,"level, noise, ra_alt, center_frequency",mixed,0.2643957826439578,0.20843471208434713,0.24006488240064883,0.28791565287915655,0.0010041413363114512,1233,429
only level,level,receiver-side,0.2035685320356853,0.20843471208434713,0.1816707218167072,0.22627737226277372,0.7986433872294563,1233,384
only noise,noise,receiver-side,0.20275750202757503,0.20843471208434713,0.1816707218167072,0.22627737226277372,0.7683955760826178,1233,415
only ra_alt,ra_alt,payload,0.24817518248175183,0.20843471208434713,0.22301297648012977,0.27090429845904285,0.02432508312371805,1233,455
only center_frequency,center_frequency,receiver-side,0.19302514193025141,0.20843471208434713,0.1711273317112733,0.21654501216545013,0.3792292533280611,1233,419
without level,"noise, ra_alt, center_frequency",mixed,0.2635847526358475,0.20843471208434713,0.2384428223844282,0.28791565287915655,0.0014467355714014283,1233,444
without noise,"level, ra_alt, center_frequency",mixed,0.22952149229521493,0.20843471208434713,0.20681265206812652,0.25304136253041365,0.22246765616638373,1233,420
without ra_alt,"level, noise, center_frequency",mixed,0.2733171127331711,0.20843471208434713,0.24898621248986214,0.2984590429845904,0.00017095695208796957,1233,444
without center_frequency,"level, noise, ra_alt",mixed,0.1978913219789132,0.20843471208434713,0.17518248175182483,0.21897810218978103,0.545020786991823,1233,393
receiver-side only,"level, noise, center_frequency",receiver-side,0.2733171127331711,0.20843471208434713,0.24898621248986214,0.2984590429845904,0.00017095695208796957,1233,444
payload only,ra_alt,payload,0.24817518248175183,0.20843471208434713,0.22301297648012977,0.27090429845904285,0.02432508312371805,1233,455
