model,evaluation_protocol,metric,value,source_csv
Random Forest,"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",accuracy,0.2449,classifier_comparison.csv
Random Forest,"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",accuracy_ci_low,0.2222,classifier_comparison.csv
Random Forest,"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",accuracy_ci_high,0.2693,classifier_comparison.csv
Random Forest,"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",macro_f1,0.2422,classifier_comparison.csv
Random Forest,"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",cv_accuracy_mean,0.2398,classifier_comparison.csv
Random Forest,"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",cv_accuracy_std,0.0131,classifier_comparison.csv
Random Forest,"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",train_eval_seconds,5.8,classifier_comparison.csv
Random Forest,"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",feature_scaling,unscaled,classifier_comparison.csv
Neural Net (MLP),"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",accuracy,0.2328,classifier_comparison.csv
Neural Net (MLP),"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",accuracy_ci_low,0.2092,classifier_comparison.csv
Neural Net (MLP),"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",accuracy_ci_high,0.2563,classifier_comparison.csv
Neural Net (MLP),"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",macro_f1,0.2308,classifier_comparison.csv
Neural Net (MLP),"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",cv_accuracy_mean,0.2314,classifier_comparison.csv
Neural Net (MLP),"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",cv_accuracy_std,0.0081,classifier_comparison.csv
Neural Net (MLP),"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",train_eval_seconds,12.9,classifier_comparison.csv
Neural Net (MLP),"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",feature_scaling,scaled,classifier_comparison.csv
Logistic Regression,"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",accuracy,0.2311,classifier_comparison.csv
Logistic Regression,"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",accuracy_ci_low,0.2076,classifier_comparison.csv
Logistic Regression,"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",accuracy_ci_high,0.2539,classifier_comparison.csv
Logistic Regression,"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",macro_f1,0.2232,classifier_comparison.csv
Logistic Regression,"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",cv_accuracy_mean,0.2357,classifier_comparison.csv
Logistic Regression,"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",cv_accuracy_std,0.0116,classifier_comparison.csv
Logistic Regression,"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",train_eval_seconds,1.8,classifier_comparison.csv
Logistic Regression,"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",feature_scaling,scaled,classifier_comparison.csv
SVM (RBF),"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",accuracy,0.2238,classifier_comparison.csv
SVM (RBF),"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",accuracy_ci_low,0.2028,classifier_comparison.csv
SVM (RBF),"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",accuracy_ci_high,0.2474,classifier_comparison.csv
SVM (RBF),"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",macro_f1,0.2179,classifier_comparison.csv
SVM (RBF),"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",cv_accuracy_mean,0.2333,classifier_comparison.csv
SVM (RBF),"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",cv_accuracy_std,0.0062,classifier_comparison.csv
SVM (RBF),"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",train_eval_seconds,9.7,classifier_comparison.csv
SVM (RBF),"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",feature_scaling,scaled,classifier_comparison.csv
Decision Tree,"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",accuracy,0.2157,classifier_comparison.csv
Decision Tree,"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",accuracy_ci_low,0.1938,classifier_comparison.csv
Decision Tree,"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",accuracy_ci_high,0.2393,classifier_comparison.csv
Decision Tree,"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",macro_f1,0.2156,classifier_comparison.csv
Decision Tree,"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",cv_accuracy_mean,0.2337,classifier_comparison.csv
Decision Tree,"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",cv_accuracy_std,0.0074,classifier_comparison.csv
Decision Tree,"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",train_eval_seconds,1.0,classifier_comparison.csv
Decision Tree,"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",feature_scaling,unscaled,classifier_comparison.csv
k-NN (k=5),"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",accuracy,0.2141,classifier_comparison.csv
k-NN (k=5),"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",accuracy_ci_low,0.1914,classifier_comparison.csv
k-NN (k=5),"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",accuracy_ci_high,0.2368,classifier_comparison.csv
k-NN (k=5),"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",macro_f1,0.2121,classifier_comparison.csv
k-NN (k=5),"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",cv_accuracy_mean,0.1978,classifier_comparison.csv
k-NN (k=5),"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",cv_accuracy_std,0.0111,classifier_comparison.csv
k-NN (k=5),"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",train_eval_seconds,4.8,classifier_comparison.csv
k-NN (k=5),"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",feature_scaling,scaled,classifier_comparison.csv
Baseline (most frequent),"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",accuracy,0.2084,classifier_comparison.csv
Baseline (most frequent),"Stratified 80/20 split + 5-fold CV (message-level, classical/MLP baselines)",accuracy_ci_low,0.1873,classifier_comparison.csv
