model,fold,test_messages,test_passes,accuracy,macro_f1
Baseline (most frequent),1,820,8,0.02195121951219512,0.008591885441527445
Baseline (most frequent),2,1287,11,0.000777000777000777,0.0003105590062111801
Baseline (most frequent),3,1012,13,0.045454545454545456,0.017391304347826087
Baseline (most frequent),4,1651,10,0.0006056935190793458,0.00024213075060532688
Baseline (most frequent),5,1393,11,0.0007178750897343862,0.00028694404591104734
Logistic Regression,1,820,8,0.18170731707317073,0.1738771571698401
Logistic Regression,2,1287,11,0.09867909867909867,0.10995832774321283
Logistic Regression,3,1012,13,0.08201581027667984,0.090812817466108
Logistic Regression,4,1651,10,0.06238643246517262,0.0733688724346919
Logistic Regression,5,1393,11,0.07681263460157932,0.09379113066049612
Decision Tree,1,820,8,0.21097560975609755,0.19425426712194382
Decision Tree,2,1287,11,0.19502719502719504,0.17475056812942397
Decision Tree,3,1012,13,0.1808300395256917,0.14696462228328716
Decision Tree,4,1651,10,0.18170805572380375,0.16874145787703293
Decision Tree,5,1393,11,0.18162239770279973,0.16489612329315811
Random Forest,1,820,8,0.2329268292682927,0.21782542354850554
Random Forest,2,1287,11,0.15695415695415696,0.15237354093622787
Random Forest,3,1012,13,0.1274703557312253,0.12327180673129108
Random Forest,4,1651,10,0.11508176862507571,0.12241781531067555
Random Forest,5,1393,11,0.14501076812634603,0.14778117892925194
SVM (RBF),1,820,8,0.15853658536585366,0.16398680760592715
SVM (RBF),2,1287,11,0.05128205128205128,0.06435088140976838
SVM (RBF),3,1012,13,0.06521739130434782,0.06915414745793703
SVM (RBF),4,1651,10,0.03391883706844337,0.03956706085602356
SVM (RBF),5,1393,11,0.03230437903804738,0.04423591213371127
k-NN (k=5),1,820,8,0.1975609756097561,0.18847086275695998
k-NN (k=5),2,1287,11,0.1825951825951826,0.1627800851151105
k-NN (k=5),3,1012,13,0.1274703557312253,0.10861845138554367
k-NN (k=5),4,1651,10,0.15384615384615385,0.14592883183939703
k-NN (k=5),5,1393,11,0.17587939698492464,0.16175768239168192
Gaussian Naive Bayes,1,820,8,0.24390243902439024,0.14984695858012154
Gaussian Naive Bayes,2,1287,11,0.041181041181041184,0.04823491989833567
Gaussian Naive Bayes,3,1012,13,0.05237154150197629,0.026117624279607288
Gaussian Naive Bayes,4,1651,10,0.16596002422774075,0.09313463076088047
Gaussian Naive Bayes,5,1393,11,0.15147164393395549,0.0604014697141622
Neural Net (MLP),1,820,8,0.22926829268292684,0.2110217795418446
Neural Net (MLP),2,1287,11,0.14063714063714064,0.13560763629804484
Neural Net (MLP),3,1012,13,0.15711462450592886,0.14033045321307483
Neural Net (MLP),4,1651,10,0.13446396123561477,0.13230773023902978
Neural Net (MLP),5,1393,11,0.1873653984206748,0.1734581027907825
