satellite_id,pass_id,message_count,pass_start,pass_end,duration_seconds
51,0,62,1679504158.5923367,1679504529.7649257,371.1725890636444
51,1,220,1679509836.5670433,1679510634.3757603,797.8087170124054
51,2,1,1679515277.228258,1679515277.228258,0.0
51,3,163,1679515941.414737,1679516672.155891,730.7411539554596
51,4,45,1679547345.8922043,1679547744.278435,398.3862307071686
51,5,259,1679553322.8837523,1679554051.8887877,729.0050354003906
51,6,18,1679559414.6238809,1679559892.0893524,477.4654715061188
51,7,54,1679588588.605861,1679588868.0455198,279.43965888023376
51,8,184,1679594224.8175745,1679595015.9155827,791.0980081558228
51,9,182,1679600314.439462,1679600790.2085552,475.7690932750702
85,10,56,1679502547.1676939,1679502822.4462807,275.27858686447144
85,11,1,1679507352.372942,1679507352.372942,0.0
85,12,223,1679508198.7689211,1679508952.623702,753.8547809123993
85,13,210,1679514273.964245,1679515019.1765556,745.212310552597
85,14,1,1679520881.184908,1679520881.184908,0.0
85,15,21,1679545715.0250325,1679545826.086699,111.06166648864746
85,16,237,1679551688.7602062,1679552410.4363542,721.6761479377747
85,17,133,1679557749.8630307,1679558341.8598602,591.9968295097351
85,18,1,1679561259.030137,1679561259.030137,0.0
85,19,1,1679582089.1933455,1679582089.1933455,0.0
85,20,15,1679587003.1472993,1679587076.3047526,73.15745329856873
85,21,136,1679592776.9004707,1679593347.8330805,570.932609796524
85,22,242,1679598638.2485971,1679599428.7313454,790.4827482700348
87,23,62,1679503074.3984241,1679503375.2298532,300.8314290046692
87,24,193,1679508746.6716146,1679509530.2424128,783.5707981586456
87,25,211,1679514880.8262568,1679515585.9537032,705.1274464130402
87,26,1,1679524611.6985412,1679524611.6985412,0.0
87,27,1,1679532753.037424,1679532753.037424,0.0
87,28,10,1679546288.041995,1679546375.8827648,87.84076976776123
87,29,227,1679552281.875817,1679553001.7494903,719.8736732006073
87,30,94,1679558293.8889217,1679558880.3608563,586.4719345569611
87,31,1,1679561095.3457024,1679561095.3457024,0.0
87,32,29,1679587564.4633987,1679587669.8494797,105.3860809803009
87,33,162,1679593346.156566,1679593912.6369514,566.4803855419159
87,34,241,1679599227.6949666,1679599987.1263735,759.4314069747925
92,35,58,1679503647.0570872,1679503951.4242005,304.3671133518219
92,36,176,1679509323.5192215,1679510092.0783556,768.5591340065002
92,37,206,1679515386.381415,1679516126.525245,740.1438300609589
92,38,8,1679546871.2597275,1679547161.561338,290.3016104698181
92,39,270,1679552742.2928355,1679553489.4384587,747.1456232070923
92,40,60,1679558857.3677845,1679559364.7162287,507.34844422340393
92,41,1,1679562436.3438826,1679562436.3438826,0.0
92,42,45,1679588039.93849,1679588319.4209216,279.48243165016174
92,43,166,1679593665.0331278,1679594434.1207078,769.0875799655914
92,44,292,1679599734.0009582,1679600520.7952795,786.7943212985992
109,45,163,1679507620.2335749,1679508392.6525624,772.4189875125885
109,46,260,1679513705.5276854,1679514489.8671753,784.3394899368286
109,47,1,1679520333.2751765,1679520333.2751765,0.0
109,48,24,1679545166.3836975,1679545275.3523207,108.96862316131592
109,49,276,1679551163.166347,1679551860.2044058,697.038058757782
109,50,137,1679557174.2145696,1679557800.765543,626.5509734153748
109,51,121,1679592247.7980816,1679592776.4549162,528.656834602356
109,52,202,1679598077.1707826,1679598870.6152363,793.4444537162781
