sat_a,sat_b,raw_distance,normalised_distance
85,109,0.37970618228034386,0.07261668708272187
85,87,0.3591351694168514,0.0659929490974134
51,109,0.33905590799819074,0.06596557252780491
87,92,0.3382335880605853,0.06523163873376919
92,109,0.29889764724552115,0.06020590273246877
51,87,0.3180617360162744,0.0597161128009607
51,92,0.30225712204017635,0.05634996159417178
85,92,0.2972640454640703,0.055618556387207356
51,85,0.2126914333013363,0.03672431210331698
87,109,0.14843834789348523,0.029489421964276973
