model,source,target,alpha_required,success_at_alpha0,success_at_alpha1,max_shift_sigma,mean_shift_sigma,largest_shift_feature
28 waveform features,51,85,,0.226890756302521,0.2857142857142857,,,-
28 waveform features,51,87,,0.19327731092436976,0.226890756302521,,,-
28 waveform features,51,92,,0.23529411764705882,0.21428571428571427,,,-
28 waveform features,51,109,,0.1638655462184874,0.25630252100840334,,,-
28 waveform features,85,51,,0.13725490196078433,0.16862745098039217,,,-
28 waveform features,85,87,,0.17254901960784313,0.19215686274509805,,,-
28 waveform features,85,92,,0.20784313725490197,0.19607843137254902,,,-
28 waveform features,85,109,,0.1450980392156863,0.25882352941176473,,,-
28 waveform features,87,51,,0.15040650406504066,0.13414634146341464,,,-
28 waveform features,87,85,1.3,0.3008130081300813,0.4634146341463415,0.2573211899595354,0.0627776589632289,kurt_I
28 waveform features,87,92,,0.16260162601626016,0.17886178861788618,,,-
28 waveform features,87,109,,0.15853658536585366,0.21138211382113822,,,-
28 waveform features,92,51,,0.14785992217898833,0.14396887159533073,,,-
28 waveform features,92,85,,0.2723735408560311,0.35797665369649806,,,-
28 waveform features,92,87,,0.1517509727626459,0.1867704280155642,,,-
28 waveform features,92,109,,0.20622568093385213,0.26848249027237353,,,-
28 waveform features,109,51,,0.15611814345991562,0.15611814345991562,,,-
28 waveform features,109,85,1.75,0.189873417721519,0.3755274261603376,0.33297852337887895,0.08966784507450806,kurt_I
28 waveform features,109,87,,0.19831223628691982,0.24050632911392406,,,-
28 waveform features,109,92,,0.20253164556962025,0.18565400843881857,,,-
receiver-side metadata,51,85,,0.25630252100840334,0.23109243697478993,,,-
receiver-side metadata,51,87,,0.18067226890756302,0.2184873949579832,,,-
receiver-side metadata,51,92,,0.18907563025210083,0.19747899159663865,,,-
receiver-side metadata,51,109,,0.10504201680672269,0.15546218487394958,,,-
receiver-side metadata,85,51,,0.18823529411764706,0.24313725490196078,,,-
receiver-side metadata,85,87,,0.22745098039215686,0.20392156862745098,,,-
receiver-side metadata,85,92,,0.1803921568627451,0.20392156862745098,,,-
receiver-side metadata,85,109,,0.1411764705882353,0.14901960784313725,,,-
receiver-side metadata,87,51,,0.2073170731707317,0.23170731707317074,,,-
receiver-side metadata,87,85,,0.13008130081300814,0.16666666666666666,,,-
receiver-side metadata,87,92,,0.23170731707317074,0.17886178861788618,,,-
receiver-side metadata,87,109,,0.15853658536585366,0.17886178861788618,,,-
receiver-side metadata,92,51,,0.17509727626459143,0.17120622568093385,,,-
receiver-side metadata,92,85,,0.16731517509727625,0.1867704280155642,,,-
receiver-side metadata,92,87,,0.17120622568093385,0.21011673151750973,,,-
receiver-side metadata,92,109,,0.1867704280155642,0.11284046692607004,,,-
receiver-side metadata,109,51,,0.18143459915611815,0.24472573839662448,,,-
receiver-side metadata,109,85,,0.17721518987341772,0.20253164556962025,,,-
receiver-side metadata,109,87,,0.18143459915611815,0.2742616033755274,,,-
receiver-side metadata,109,92,,0.1940928270042194,0.16877637130801687,,,-
